Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
Galone Min PDF,8 November 2022,29 November 2022,PDF,1,3,0,0,11,0
Hailstorm Defence Force,16 January 2023,16 January 2023,PDF,1,2,0,0,0,0
Justic Mandalay People Defense Force,9 February 2022,2 September 2022,PDF,3,6,0,0,0,0
Kani Army,22 July 2022,3 November 2022,PDF,2,2,0,0,0,0
KG Force,23 February 2023,2 April 2023,PDF,2,3,0,0,3,0
Knight of the New Generation's PDF,3 July 2022,28 August 2022,PDF,2,2,0,0,4,0
Maraland Defense Force (MDF),3 October 2022,6 March 2023,PDF,2,4,0,0,15,0
Mother's Corps,11 June 2023,11 June 2023,PDF,1,1,1,0,11,0
Myanmar Independence Unit (MIU),16 August 2022,22 September 2022,PDF,1,4,0,1,0,0
New Light PDF,14 October 2022,14 October 2022,PDF,2,2,0,0,0,0
Non Profit Soldiers Ye-U,4 July 2022,19 October 2022,PDF,2,3,0,0,2,0
Pathein Special Task Force (PSTF),5 November 2022,22 April 2023,PDF,1,4,0,0,0,0
Pauk Regional Defence Force,27 May 2022,10 November 2022,PDF,2,5,0,0,1,0
Special 7 Attacks Forces,13 April 2022,14 April 2023,PDF,3,3,0,0,15,0
SSTF - K.U,17 October 2022,6 February 2023,PDF,2,2,0,0,5,0
The Ant's LPDF,12 January 2023,25 June 2023,PDF,1,2,0,0,3,0
YDF Htilin (Shwe Sun Nyo),8 May 2022,25 August 2022,PDF,1,7,0,0,2,0
ALP - Arakan Liberation Party,13 August 2022,1 July 2023,EAO,3,6,1,0,0,0
Anonymous Heros,27 January 2023,24 March 2023,PDF,1,3,0,0,4,0
Apostle PDF,12 July 2022,12 February 2023,PDF,1,2,0,0,6,0
Black Fox PDF,1 November 2022,8 December 2022,PDF,2,4,0,0,1,0
Black Tiger UG Team,24 October 2022,24 October 2022,PDF,1,3,0,1,0,0
Bo Hlaing Bwar Guerrilla Force,26 April 2023,22 June 2023,PDF,1,3,2,0,10,0
Bo Ka Naing PDF,9 July 2022,9 July 2022,PDF,1,2,0,0,7,0
Burma Independence Operation-Sagaing,6 October 2022,7 October 2022,PDF,1,2,0,0,7,0
CDF - Tonzang,9 April 2023,9 April 2023,PDF,1,2,0,0,0,2
CKDF,24 October 2022,26 October 2022,PDF,1,2,0,0,2,0
Cobra Guerrilla Force - Yinmarbin,4 March 2022,3 June 2023,PDF,2,2,0,0,10,0
Dae Doe PDF,7 August 2022,4 March 2023,PDF,1,2,0,0,5,0
Daung Min LPDF (Shwebo),26 May 2023,26 May 2023,PDF,1,1,0,0,0,0
Eagles Army PDF,22 May 2022,28 May 2022,PDF,2,2,0,0,20,0
Giant Revolution Force - GRF,9 April 2023,9 April 2023,PDF,1,2,0,0,0,2
God of Satans-GOS,22 January 2023,22 January 2023,PDF,1,1,0,0,20,0
Ingapu PDF,2 March 2023,15 April 2023,PDF,1,3,0,0,10,0
James Bond Guerrilla Force,30 August 2022,30 August 2022,PDF,1,2,0,0,10,0
Ko Ngal Lay Guerrilla Force,26 July 2022,9 August 2022,PDF,1,3,0,0,1,0
Light Brother PDF,12 December 2022,12 December 2022,PDF,1,1,0,0,0,0
Maha Yan Guerilla Force,26 May 2023,26 May 2023,PDF,1,1,0,0,0,0
Mawgyun PDF,5 October 2022,30 April 2023,PDF,1,3,0,0,1,0
Meiktila District PDF,26 June 2023,5 July 2023,PDF,1,2,0,0,3,4
Men Ranger PDF,18 May 2022,18 May 2022,PDF,1,1,0,0,0,0
Moe Pyan Yet Kyay PDF,6 August 2022,6 August 2022,PDF,1,1,0,0,38,3
Mohnyin PDF,7 March 2023,29 May 2023,PDF,1,3,0,0,2,1
Monywa District PDF - Kani,13 May 2022,24 July 2022,PDF,2,2,0,0,15,0
Monywa Eagle Generation Y,13 September 2022,28 February 2023,PDF,1,2,0,0,0,0
Mudon PDF,22 May 2022,16 March 2023,PDF,2,4,0,0,0,0
Myitchay Kyunchaung PDF,1 May 2022,7 June 2022,PDF,2,5,0,0,27,1
Natmauk PDF,9 July 2022,5 March 2023,PDF,2,3,0,1,3,0
Nattalin PDF,18 October 2022,8 June 2023,PDF,1,5,0,0,7,3
One Second Guerrilla Force,30 August 2022,30 August 2022,PDF,1,2,0,0,10,0
PDF - Sanchaung,10 June 2022,12 May 2023,PDF,2,6,0,0,0,0
People's Democratic Army - PDO/PDA,24 February 2023,24 February 2023,PDF,1,2,0,0,5,0
Red Falcon PDF,2 March 2023,19 May 2023,PDF,2,3,0,0,10,0
Sel Ywar Chaung PDF - Kani,9 April 2023,9 April 2023,PDF,1,2,0,0,0,2
Shwebo Lightning Thunderstorm Force,22 January 2023,22 January 2023,PDF,1,1,0,0,20,0
Singu Alliance Force,20 May 2022,29 May 2022,PDF,1,3,0,1,21,0
Sky Hero - Mandalay,31 January 2023,31 May 2023,PDF,2,2,0,0,0,0
Ta Mar Myay Group,15 May 2022,15 May 2022,PDF,1,1,0,0,7,0
Taung Dwin Viper PDF,9 June 2022,28 August 2022,PDF,1,4,0,0,0,0
TY Local Defence Force,22 May 2022,22 May 2022,PDF,1,2,0,0,13,0
Women Artillery Force - DMSA,25 November 2022,9 February 2023,PDF,1,3,0,0,4,0
Yaw National Revolution Force - Htilin,7 May 2023,9 May 2023,PDF,1,2,0,0,3,0
YSO North PDF,15 May 2022,15 May 2022,PDF,1,1,0,0,7,0
Zar Ni Thway,26 May 2023,26 May 2023,PDF,1,1,0,0,0,0
A2K PDF,30 December 2022,2 July 2023,PDF,2,2,0,0,11,0
AK 2 PDF,24 March 2023,24 March 2023,PDF,1,1,0,0,8,0
Armed Revolutionary Force of Mandalay (ARFOM),12 June 2022,24 September 2022,PDF,3,5,0,0,0,0
Black Dragon PDF - Gyobingauk,13 March 2023,25 April 2023,PDF,1,3,0,3,2,0
Black Panther PDF,29 April 2022,26 October 2022,PDF,2,3,0,0,5,0
Black Rose PDF,29 September 2022,2 December 2022,PDF,1,2,0,0,4,0
Boys of North Okkalapa PDF,6 June 2022,3 March 2023,PDF,2,5,0,0,0,0
CDF - Paletwa,11 December 2022,9 March 2023,PDF,1,5,0,0,15,1
CDF-Mindat (Swallow Battalion),15 May 2022,17 August 2022,PDF,2,3,0,0,2,2
City Hunter PDF,4 July 2022,24 February 2023,PDF,3,3,0,0,11,0
Civil Guerrilla Force - YGN,30 April 2022,9 June 2022,PDF,4,4,0,1,3,1
Coastal PDF,4 January 2023,5 February 2023,PDF,1,3,0,0,0,0
Dawna Dragon Defence Force,4 January 2023,5 February 2023,PDF,1,3,0,0,0,0
Doe Yoe Yar - Yangon Revolution Group,16 May 2022,5 October 2022,PDF,2,5,0,0,0,0
Dote Hta Wati Revolution Alliance,24 February 2023,27 February 2023,PDF,2,2,0,0,13,0
Dragon King Aerial Operation Force,31 December 2022,31 December 2022,PDF,1,1,0,0,5,0
Five Stars LPDF,19 February 2023,19 February 2023,PDF,1,1,0,0,2,0
Galon Guerrilla Force (Myaing),13 May 2022,13 May 2022,PDF,1,1,0,0,0,0
Generation Defence Force - Ayadaw,24 March 2023,24 March 2023,PDF,1,1,0,0,8,0
Ka Sel Thu PDF,30 May 2022,15 July 2022,PDF,2,2,0,0,1,7
Kyauktaga PDF,7 January 2023,9 February 2023,PDF,2,4,0,0,1,0
Mahar Mate Myar Theikdishin Taik Nal PDF,12 August 2022,1 February 2023,PDF,2,4,0,0,15,0
Mahaura Owl (Depayin),7 May 2022,7 May 2022,PDF,1,1,0,0,8,1
Mandalay Young Force,31 October 2022,22 November 2022,PDF,1,3,0,2,1,0
MKCDF,27 March 2023,16 April 2023,PDF,1,3,0,0,0,0
Moe Thouk Kyal PDF,4 March 2022,5 January 2023,PDF,1,2,0,0,10,0
Monywa District - Flame PDF,12 January 2023,28 June 2023,PDF,1,2,0,0,8,0
Monywa Revolution Force - MRF,30 September 2022,24 January 2023,PDF,2,3,0,1,2,0
Myaing Battalion – 2,21 November 2022,28 January 2023,PDF,2,2,0,0,6,0
Pakokku Revolution Front - PRF,10 June 2022,16 February 2023,PDF,2,2,0,0,5,0
Pauk-Myaing Alliance Force,25 June 2022,25 June 2022,PDF,1,1,0,0,0,0
People's Security Force,18 June 2022,8 May 2023,PDF,2,3,0,0,5,0
Red Wolves of Mogok,3 August 2022,30 August 2022,PDF,2,3,0,0,22,0
Rural Guerrilla (Myaing),13 May 2022,13 May 2022,PDF,1,1,0,0,0,0
Steel Falcon,13 May 2022,13 May 2022,PDF,1,1,0,0,0,0
Ta Pyay Taw PDF,25 June 2022,25 June 2022,PDF,1,1,0,0,0,0
Tagung PDF,22 May 2022,11 September 2022,PDF,2,3,0,0,23,0
Taze Stone,20 October 2022,26 October 2022,PDF,1,3,0,0,0,0
Taze Yoe Tan,20 October 2022,26 October 2022,PDF,1,3,0,0,0,0
Twenty Seven LPDF,19 February 2023,19 February 2023,PDF,1,1,0,0,2,0
Urban Guerrillas of Pindaya (UGP),10 February 2022,30 March 2022,PDF,3,3,0,2,0,0
West District PDF,29 July 2022,12 May 2023,PDF,3,6,0,0,0,0
Yangon PDF,19 June 2022,26 September 2022,PDF,3,4,0,2,3,0
Yangon Underground Force (YUF),10 January 2023,20 March 2023,PDF,3,4,0,0,0,0
Ye-U Freedom Comrades (YFC),19 May 2022,14 December 2022,PDF,2,2,5,0,43,0
Young Fighter People's Defence Force of Myaung,2 July 2022,2 July 2022,PDF,1,1,0,0,12,0
1000 Warriors Nga Moe Guerrilla Force,6 March 2023,7 March 2023,PDF,1,2,0,0,7,0
Anyar Mone Tine Guerrilla Force,12 March 2023,12 March 2023,PDF,1,1,0,0,0,0
Ayadaw Defence Force,3 December 2022,14 December 2022,PDF,2,4,0,0,33,0
Black Shadow Squad (BSS),22 September 2022,3 February 2023,PDF,2,3,0,1,0,0
Bo Sek Kar Kha PDF,18 May 2023,11 June 2023,PDF,1,2,0,0,7,0
Bo Zat Lite PDF,19 August 2022,19 August 2022,PDF,1,1,0,0,0,0
CDF-Hualngoram,25 July 2022,9 May 2023,PDF,2,4,0,0,0,2
Dark-Owl PDF - Depayin,3 May 2022,3 May 2022,PDF,1,1,0,0,0,0
Dragon Rangers Mandalay - PDF,20 June 2022,19 September 2022,PDF,3,4,0,0,3,0
DRONE. Revolutionary Rebel Force,14 April 2023,14 April 2023,PDF,1,3,0,0,0,0
Eastern Defence Force - EDF,9 June 2022,12 June 2022,PDF,1,4,0,0,20,2
Galone Army - Depayin,1 October 2022,18 October 2022,PDF,1,3,0,0,0,0
Garuda People's Defence Force,23 December 2022,11 January 2023,PDF,3,4,0,0,9,0
Guerrilla Dawei,28 May 2022,6 October 2022,PDF,1,5,0,1,0,0
Hantharwaddy PDF,25 May 2023,26 May 2023,PDF,1,2,0,0,3,0
Hinthada Local People Defence Force (HLPDF),13 October 2022,15 April 2023,PDF,1,4,0,0,3,0
Ka Paung Kya PDF,18 June 2022,24 September 2022,PDF,1,2,0,0,7,0
Kangyidaunt PDF,30 August 2022,5 November 2022,PDF,2,3,0,0,0,0
Key of Revolution,24 January 2023,7 April 2023,PDF,1,2,0,0,17,0
KNU/KNLA Peace Council,22 March 2022,5 April 2023,EAO,3,4,0,0,2,0
Mawlamyaing PDF,11 May 2022,26 August 2022,PDF,2,5,1,0,6,0
MDRF,2 March 2023,2 March 2023,PDF,1,2,0,0,1,0
MG6 PDF,10 May 2022,6 March 2023,PDF,2,4,0,0,2,0
Minbu District PDF,28 March 2023,12 June 2023,PDF,1,2,0,0,4,0
Mo1 (Starlight) PDF,1 November 2022,21 November 2022,PDF,2,3,0,0,0,0
Momeik District K-PDF,7 April 2023,7 April 2023,PDF,1,2,0,0,11,0
Mon State Mount Taungnyo People Guerrilla Force,2 June 2022,25 October 2022,PDF,2,5,0,0,15,0
MPN Guerrilla Force,31 December 2022,31 December 2022,PDF,1,1,0,0,0,0
National PDF - Yinmarbin,10 May 2022,17 April 2023,PDF,2,2,0,0,7,0
Ngar Pyay Ma Guerrilla Force,26 April 2022,4 December 2022,PDF,2,5,0,1,2,0
NUG Battalion 1008,12 August 2022,12 August 2022,PDF,1,1,0,0,2,1
NUG's Western Regional Military Command,9 July 2022,9 July 2022,PDF,1,1,0,0,9,0
Nyaunglebin PDF,9 October 2022,9 February 2023,PDF,1,4,0,0,0,0
Pauk Tee Guerrilla Force,31 December 2022,31 December 2022,PDF,1,1,0,0,0,0
PCN 4 Guerrilla Force,31 December 2022,31 December 2022,PDF,1,1,0,0,0,0
PDF - Kyaukhtu,15 May 2022,15 May 2022,PDF,1,2,0,0,2,0
Phet Tee Artillery Force,1 January 2023,1 January 2023,PDF,1,1,0,0,3,0
Pinlebu PDF,8 July 2022,19 January 2023,PDF,1,4,0,0,63,0
PK PDF - Kani,24 December 2022,25 December 2022,PDF,1,2,0,0,0,0
Revolution Youth Group (RYG),28 January 2023,25 March 2023,PDF,2,3,0,0,1,0
RPDF,1 January 2023,1 January 2023,PDF,1,1,0,0,3,0
SLN LPD(Salin Local People's Defence Force),9 July 2022,9 July 2022,PDF,1,1,0,0,9,0
Special Commando - Chaung-U Revolution Army,6 October 2022,13 February 2023,PDF,2,2,0,0,3,0
SPRING DHAMMA PDF,18 June 2022,28 March 2023,PDF,1,4,0,4,1,0
Tabeikkyin PDF,3 June 2022,2 February 2023,PDF,2,2,0,0,6,1
Thanlyin Underground Guerrilla Force,19 June 2022,26 September 2022,PDF,2,4,0,0,3,0
Thegon People Defense Force,27 January 2023,26 June 2023,PDF,1,3,0,1,2,0
Thway Thit Sar Alliance Force,25 November 2022,29 January 2023,PDF,2,5,0,0,0,0
Toxic Boys PDF,10 June 2022,30 July 2022,PDF,3,4,0,0,2,0
Wild Tiger PDF,8 November 2022,25 January 2023,PDF,2,3,0,0,10,0
Yangon Federal Army,30 April 2022,20 September 2022,PDF,4,4,0,0,4,0
Yaw Min Gyi PDF,19 August 2022,19 August 2022,PDF,1,1,0,0,0,0
Yephyu PDF,16 May 2023,16 May 2023,PDF,1,2,0,0,0,0
YF Drone Team,14 September 2022,15 September 2022,PDF,1,2,0,0,2,0
Zarmani Kyaw Gyi PDF,19 August 2022,19 August 2022,PDF,1,1,0,0,0,0
Alpha Squad (PRF),16 February 2023,16 February 2023,PDF,1,1,0,0,0,0
Aung San Generation Budalin,17 July 2022,7 August 2022,PDF,1,4,0,0,9,0
Black Cat (SGG),31 March 2023,21 May 2023,PDF,1,2,0,0,2,0
BLY Guerrilla Force,26 November 2022,30 January 2023,PDF,1,2,0,0,2,0
Bo Zay Ya PDF,1 May 2022,8 September 2022,PDF,1,2,0,0,7,0
Bo Zin Yaw PDF,30 March 2023,1 June 2023,PDF,1,2,0,0,5,0
Bomb God,1 July 2023,1 July 2023,PDF,1,1,0,0,2,0
Bravo Squad (PRF),16 February 2023,16 February 2023,PDF,1,1,0,0,0,0
Charlie Squad (PRF),16 February 2023,16 February 2023,PDF,1,1,0,0,0,0
Chin National Defence Force (Sap Din Thuam - SDT),26 November 2022,26 November 2022,PDF,1,1,0,0,3,0
Chin Secret Service - CSS,26 November 2022,26 November 2022,PDF,1,1,0,0,3,0
Chindwin Counter Column,7 October 2022,7 October 2022,PDF,1,1,0,0,0,0
Chindwin Rangers PDF,3 September 2022,5 April 2023,PDF,1,3,0,0,1,2
D.P.F Force,25 November 2022,25 November 2022,PDF,1,1,0,0,3,0
Daung Thway Yar Zar PDF,26 November 2022,26 November 2022,PDF,1,1,0,0,3,0
Demoso- LPDF,11 July 2022,28 July 2022,PDF,1,3,0,0,8,0
Det Khi Na Thi Ri PDF,14 April 2023,3 May 2023,PDF,3,3,0,0,8,0
Dragon Brother's PDF,13 May 2022,13 May 2022,PDF,1,1,0,0,0,0
Flying Stars PDF,5 May 2022,5 November 2022,PDF,1,3,0,0,6,1
Forces Our History,12 February 2023,18 February 2023,PDF,2,2,0,0,2,0
God of Enemy,17 February 2023,24 April 2023,PDF,1,2,0,0,5,0
Golden Dove Guerrilla Force,23 July 2022,3 September 2022,PDF,2,2,0,0,5,0
Indawgyi PDF,13 May 2022,29 March 2023,PDF,1,4,0,0,33,0
Kani ICE PDF,24 December 2022,25 December 2022,PDF,1,2,0,0,0,0
Knive King PDF,1 March 2023,1 March 2023,PDF,1,1,0,0,0,0
Ko Chan - Tha Byay Taw PDF,31 August 2022,31 August 2022,PDF,1,1,0,0,0,0
Ko Yan Naing PDF,24 February 2023,24 February 2023,PDF,1,1,0,0,10,0
Kuki National Army - KNA (Burma),24 September 2022,28 December 2022,PDF,1,2,0,0,7,0
Kyaikmaraw PDF,6 January 2023,16 March 2023,PDF,2,2,0,0,0,0
Mahar Nyi Naung Bwar,9 May 2023,9 May 2023,PDF,1,1,0,0,20,0
Mahlaing Revolution Alliance,30 November 2022,25 February 2023,PDF,2,2,0,1,3,0
Monywa District PDF - Tanmani,13 May 2022,13 May 2022,PDF,1,1,0,0,15,0
Myanmar Royal Dragon Army - MRDA (YANGON),7 December 2022,27 March 2023,PDF,2,2,0,0,3,0
Ngazun Fight Stars PDF,1 June 2022,6 June 2022,PDF,2,2,0,1,0,0
NUG Battalion 1222,19 January 2023,20 February 2023,PDF,2,4,0,0,0,0
Pathein Guerrilla Force,20 June 2022,15 April 2023,PDF,1,4,0,0,0,0
Pauk Special Task Force - PSTF,1 March 2023,1 March 2023,PDF,1,1,0,0,0,0
PCSY PDF,31 August 2022,31 August 2022,PDF,1,1,0,0,0,0
People Revolutionary Army - PRA (12),29 April 2022,29 April 2022,PDF,1,1,0,0,50,2
People’s Revolutionary Force – PRF,14 December 2022,12 February 2023,PDF,2,2,0,0,0,0
Pyapon PDF,28 July 2022,28 January 2023,PDF,1,3,0,0,0,0
Revolutionary Falcon Drone,19 August 2022,19 August 2022,PDF,1,1,0,0,6,0
S F2,30 December 2022,30 December 2022,PDF,1,1,0,0,0,0
Sea-gull (Zin Yaw) PDF,16 June 2022,16 July 2022,PDF,1,4,0,3,5,0
Secret Underground Force (SUF),17 July 2022,16 August 2022,PDF,2,3,0,0,0,0
Shwe Nyar Thar Revolution Force,30 December 2022,30 December 2022,PDF,1,1,0,0,0,0
Shwe Tan Myay PDF,14 February 2023,1 July 2023,PDF,1,3,0,2,2,0
Southern District PDF,3 May 2022,3 August 2022,PDF,4,4,0,1,2,1
Special Nway Oo (SNO),11 July 2022,1 June 2023,PDF,4,5,0,0,0,0
Special Underground Movement Force,9 November 2022,27 February 2023,PDF,2,4,0,1,1,0
Tanintharyi Defense Force,8 May 2022,14 November 2022,PDF,2,4,1,0,8,1
Taung Paw Ponnaka PDF,23 May 2022,29 August 2022,PDF,1,2,0,0,1,0
Thein Za Yat LPDF,4 June 2022,18 September 2022,PDF,1,3,0,1,1,0
White Ranger Guerrilla PDF,29 November 2022,28 December 2022,PDF,1,2,0,0,10,0
Yangon Ghost Ranger Force (Y.G.R.F),25 July 2022,26 September 2022,PDF,3,3,0,0,5,0
Yein Nwae Par Guerrilla Force,8 March 2023,8 March 2023,PDF,1,1,0,0,13,0
Yoe Ma Yar Zar Force,4 March 2023,4 March 2023,PDF,1,1,0,0,2,0
Zwe Nyi Naung PDF,10 January 2023,6 March 2023,PDF,2,2,0,0,0,0
A.B.N.P.D.F,15 September 2022,15 September 2022,PDF,1,1,0,0,2,0
ANACONDA,16 September 2022,1 November 2022,PDF,3,3,0,0,0,0
Anonymous Force,13 May 2022,14 December 2022,PDF,3,3,0,0,3,0
Anyar Mine PDF,13 June 2023,13 June 2023,PDF,1,1,0,0,2,0
Black Army DPY PDF,21 July 2022,14 January 2023,PDF,2,2,0,0,2,0
Dagon Seikkan PDF,18 August 2022,23 June 2023,PDF,1,4,0,5,0,0
Fighting For Freedom Force (Dawei LDF),26 June 2022,28 May 2023,PDF,2,2,0,0,10,1
Fire Group PDF,13 September 2022,13 September 2022,PDF,1,1,0,0,0,0
Fire Revolution Group,30 November 2022,1 December 2022,PDF,1,2,0,0,6,0
Ground Falcon,6 May 2022,6 May 2022,PDF,1,2,0,0,2,0
Hero NGZ People Defence,15 October 2022,16 October 2022,PDF,1,2,0,0,7,0
Htantabin PDF,24 June 2022,5 June 2023,PDF,1,4,0,2,4,0
Justice PDF - Ayadaw,8 January 2023,8 January 2023,PDF,1,1,0,0,11,0
Kani ChinDwin Revolution Force (KCDRF),27 May 2022,27 May 2022,PDF,1,1,0,0,0,0
Kyaukkyi Urban Guerrilla Force,26 September 2022,16 January 2023,PDF,3,4,0,2,0,0
Kyoet Kan Kyar Gyi PDF - Khin-U,4 January 2023,4 February 2023,PDF,1,2,0,0,36,1
Lightning Weapon PDF,13 September 2022,13 September 2022,PDF,1,1,0,0,0,0
Local Mobile Team (DPY),2 March 2023,1 April 2023,PDF,2,3,0,0,25,2
Mandalay Black King Scorpion PDF,5 May 2022,7 August 2022,PDF,2,2,0,0,0,0
Middle TZ Zone UG,27 March 2023,14 April 2023,PDF,2,2,0,0,0,0
Mine King Group,3 July 2022,3 July 2022,PDF,1,1,0,0,5,0
Minhla PDF,13 February 2023,22 April 2023,PDF,2,3,0,1,0,0
Monywa Commando Force,31 March 2023,4 June 2023,PDF,1,2,0,0,2,0
Monywa Supervision Office Force,15 September 2022,15 September 2022,PDF,1,1,0,0,2,0
Mother Heros Local PDF,2 January 2023,18 June 2023,PDF,2,2,0,0,0,0
Night Hunter PDF,29 November 2022,29 November 2022,PDF,1,1,0,0,15,0
One Day Revolutiong Force,24 July 2022,24 July 2022,PDF,1,1,0,0,0,0
Panda PDF,8 January 2023,8 January 2023,PDF,1,1,0,0,11,0
Paukkhaung Freedom Force,17 July 2022,16 November 2022,PDF,1,5,0,1,0,0
Peacock Warrior PDF - Natmauk,12 January 2023,14 June 2023,PDF,1,3,0,2,1,0
PEKON PDF,18 July 2022,18 July 2022,PDF,1,1,0,0,7,0
People Revolution Force P.R.F,17 October 2022,22 October 2022,PDF,2,2,2,0,10,1
People's Liberation Force (PLF),25 September 2022,12 February 2023,PDF,1,2,0,0,2,0
PIDF,22 February 2023,22 February 2023,PDF,1,1,0,0,1,0
PNLA/PNLO - Pa-O National Liberation Army/Pa-O National Liberation Organization,2 March 2023,20 May 2023,EAO,1,4,1,0,0,0
PSF - Pale,22 February 2023,22 February 2023,PDF,1,1,0,0,1,0
Pyay PDF,22 May 2022,14 March 2023,PDF,2,3,0,1,0,0
Red Dragon and Red Peacock - Ayadaw,26 October 2022,26 October 2022,PDF,1,1,0,0,0,0
Sagaing District Revolution Force - SDRF,25 November 2022,25 November 2022,PDF,2,2,0,0,9,0
Shwebo Justice Force (SJF),26 October 2022,26 October 2022,PDF,1,1,0,0,0,0
Shwepyithar Defence Force,4 May 2022,3 June 2022,PDF,1,4,0,2,0,0
SLNL-PDF,16 June 2022,17 June 2022,PDF,1,2,1,0,0,0
Special Guerrilla Force - Monywa,10 April 2023,17 April 2023,PDF,1,3,0,0,0,0
Star Lone PDF,15 December 2022,15 December 2022,PDF,1,1,0,0,0,0
Tha Byay Aye PDF,17 May 2022,17 May 2022,PDF,1,1,0,0,7,0
Thanmani Eagle Force,5 May 2023,5 May 2023,PDF,1,1,0,0,0,0
Thazi Revolution Alliance,19 March 2023,3 June 2023,PDF,2,2,0,0,5,0
The Revolutionary Force For Justice - TRFFJ,20 March 2023,14 April 2023,PDF,1,4,0,0,0,0
THE SECRET WARRIOR KAWLIN,22 June 2023,25 June 2023,PDF,2,2,0,0,2,0
Tiger Fighter PDF,22 February 2023,22 February 2023,PDF,1,1,0,0,1,0
Vikings,20 October 2022,26 October 2022,PDF,1,2,0,0,0,0
Yangon District People's Brigade (YDPB),27 June 2022,8 March 2023,PDF,5,5,0,0,15,0
Yar Hu Princes Force,17 October 2022,18 October 2022,PDF,1,2,0,0,0,0
Ye Defense Force-YDF,22 September 2022,27 January 2023,PDF,2,2,0,0,2,0
Ywar Thar Gyi PDF - Wetlet,8 March 2023,8 March 2023,PDF,1,1,0,0,6,0
91 Soldiers PDF,1 November 2022,1 November 2022,PDF,1,1,0,0,9,0
Ayeyarwaddy Shark Guerrilla Force,15 June 2022,10 November 2022,PDF,2,3,0,1,0,0
Banana UG,13 February 2023,13 February 2023,PDF,1,1,0,0,15,1
Bant Two Fighter,26 April 2023,26 April 2023,PDF,1,2,0,0,0,0
Bo Tein Hlwar PDF,22 August 2022,22 August 2022,PDF,1,1,3,0,0,0
BRM Mandalay,13 January 2023,13 January 2023,PDF,1,1,0,0,8,0
Brother Guerrilla Force,19 February 2023,19 February 2023,PDF,1,1,0,0,3,0
Bwar Gyi PDF,23 January 2023,23 January 2023,PDF,1,1,1,0,0,0
Chindwin Peacock PDF,23 January 2023,27 March 2023,PDF,1,2,0,0,9,0
Eagle PDF Magway,15 November 2022,15 November 2022,PDF,1,1,0,0,8,0
Eagle4 PDF,24 June 2022,24 June 2022,PDF,1,1,0,0,0,0
Falcon PDF - Kani,5 June 2022,29 July 2022,PDF,2,2,0,2,1,0
Federal Freedom UG,27 July 2022,15 October 2022,PDF,2,3,0,0,3,0
Gyobinkauk PDF,27 June 2022,26 August 2022,PDF,2,3,0,4,3,0
Hinthada PDF,1 June 2022,13 October 2022,PDF,1,3,0,0,3,0
Hunter Hawk PDF,2 November 2022,2 November 2022,PDF,1,1,0,0,5,0
Kawa PDF,10 March 2023,11 April 2023,PDF,1,3,0,1,1,0
KNPLF - Karenni National People's Liberation Front,17 June 2023,24 June 2023,EAO,1,2,0,0,0,2
Ku Le PDF,17 September 2022,17 September 2022,PDF,1,1,0,0,0,0
Latt Ma Yunt PDF,16 November 2022,16 November 2022,PDF,1,1,0,4,0,0
Local Lark Guerrilla Revolution Force (K.U),29 November 2022,29 November 2022,PDF,1,1,0,0,7,0
Lucky Seven PDF,19 June 2022,19 June 2022,PDF,1,1,0,0,30,0
M.T Black Dragon PDF,12 November 2022,19 November 2022,PDF,2,2,0,0,3,0
Ma Daung Gyi PDF,29 November 2022,29 November 2022,PDF,1,1,0,0,7,0
Mahuya Bo San Hpe PDF,19 June 2022,19 June 2022,PDF,1,1,0,0,30,0
Moe Min Thar PDF,1 February 2023,1 February 2023,PDF,1,1,0,0,2,0
Monyo PDF,22 November 2022,18 March 2023,PDF,1,3,0,3,0,0
Myanmar Islamic Commando PDF,14 May 2023,14 May 2023,PDF,1,1,0,0,0,0
Myanmar National Armed Force,13 April 2022,31 December 2022,PDF,2,2,0,0,17,0
Myitkyina Urban Guerrilla Force,6 May 2022,4 May 2023,PDF,1,4,0,0,0,0
Na Bet Region PDF,23 March 2023,23 March 2023,PDF,1,1,0,0,4,0
New Light Generation People Defense Force,16 October 2022,16 October 2022,PDF,1,1,0,0,0,0
No. 1008 Infantry - Southern Shan,14 June 2022,26 September 2022,PDF,1,2,0,0,2,1
NOE LPDF,16 November 2022,16 November 2022,PDF,1,1,0,4,0,0
NUG Battalion 1223,21 February 2023,20 June 2023,PDF,2,2,0,0,32,0
NUG Battalion 710,26 September 2022,29 November 2022,PDF,1,3,0,0,3,0
Ogre Operation Group,15 November 2022,15 November 2022,PDF,1,1,0,0,8,0
One Bead Guerrilla Force,5 August 2022,28 December 2022,PDF,1,2,0,1,6,0
Pa-O National Defence Force,12 September 2022,3 November 2022,PDF,2,2,0,0,20,0
PDF - Twantay,4 May 2022,1 August 2022,PDF,1,4,0,2,0,0
Red Attack Force,24 February 2023,24 February 2023,PDF,1,1,0,0,4,0
Red Dragon Guerrilla Force (Madaya),10 November 2022,3 December 2022,PDF,3,3,0,0,5,0
Royal Diamond PDF - Budalin,4 September 2022,15 January 2023,PDF,1,2,0,0,27,0
Scorpion King,23 January 2023,23 January 2023,PDF,1,1,1,0,0,0
Shwe Be Lone PDF,28 March 2023,30 June 2023,PDF,1,2,0,0,4,0
