SR,Township,Town,Ward,Ward_MMR,,,
Magway,Saw,Saw Town,Zay Yar Ward,ဇေယျာရပ်ကွက်,,,
Magway,Seikphyu,Seikphyu Town,Ah Lel Paing Ward,အလယ်ပိုင်းရပ်ကွက်,,,
Magway,Seikphyu,Seikphyu Town,Ah Nauk Paing Ward,အနောက်ပိုင်းရပ်ကွက်,,,
Magway,Seikphyu,Seikphyu Town,Yaw Wa Ward,ယောဝရပ်ကွက်,,,
Magway,Seikphyu,Seikphyu Town,Ywar Thit Ward,ရွာသစ်ရပ်ကွက်,,,
Magway,Sidoktaya,Sidoktaya Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Sidoktaya,Sidoktaya Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Sinbaungwe,Sinbaungwe Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Sinbaungwe,Sinbaungwe Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Sinbaungwe,Sinbaungwe Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Maung Taing (1) Ward,မောင်းတိုင် (၁) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Maung Taing (2) Ward,မောင်းတို် (၂) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Ohn Taw (1) Ward,အုန်းတော (၁) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Ohn Taw (2) Ward,အုန်းတော (၂) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Shwe Kyar Inn (1) Ward,ရွှေကြာအင်း (၁) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Shwe Kyar Inn (2) Ward,ရွှေကြာအင်း (၂) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Shwe Oe (1) Ward,ရွှေအိုး (၁) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Shwe Oe (2) Ward,ရွှေအိုး (၂) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Taung Pyin (1) Ward,တောင်ပြင် (၁) ရပ်ကွက်,,,
Magway,Taungdwingyi,Taungdwingyi Town,Taung Pyin (2) Ward,တောင်ပြင် (၂) ရပ်ကွက်,,,
Magway,Thayet,Thayet Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Thayet,Thayet Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Thayet,Thayet Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Thayet,Thayet Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Thayet,Thayet Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Magway,Thayet,Thayet Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Magway,Thayet,Thayet Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Magway,Thayet,Thayet Town,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Magway,Tilin,Tilin Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Tilin,Tilin Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Bay Mei Ward,ဘေးမဲ့ရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Bo Kone Ward,ဘိုကုန်းရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Myay Ni Khin (North) Ward,မြေနီခင်မြောက်ရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Myay Ni Khin (South) Ward,မြေနီခင်တောင်ရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Myo Ma (North) Ward,မြို့မမြောက်ရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Myo Ma (South) Ward,မြို့မတောင်ရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Nyaung Hla Ward,ညောင်လှရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Oe Bo Ward,အိုးဘိုရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Shwe Kyar Ngon Ward,ရွှေကြာငုံရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Son Taik Ward,ဆုံတိုက်ရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Thit Ta Pway Ward,သစ်တပွေရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Thu Htay Kone Ward,သူဌေးကုန်းရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Twin Kone Ward,တွင်းကုန်းရပ်ကွက်,,,
Magway,Yenangyaung,Yenangyaung Town,Ywar Thit Ward,ရွာသစ်ရပ်ကွက်,,,
Magway,Yesagyo,Yesagyo Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Yesagyo,Yesagyo Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Yesagyo,Yesagyo Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Yesagyo,Yesagyo Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
